myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at
0.01705108	0	0.7398604	1.415106433	0.26064633	3.226597175	9.444384298	0.291762285	0.351857445	0.284561209	2834	12637
0.01706519	0	0.3195727	2.944529325	0.225758477	4.699248398	9.407057809	0.313290619	0.662105889	0.055610317	2834	12174
0.0170652	0	0.0928091	1.753709836	0.178591163	2.20171072	9.321255433	0.322384319	0.305019561	0.094692562	2834	11173
0.01704285	0	0.5649422	2.384513302	0.109855235	6.251444578	9.459167264	0.310443502	0.729048165	0.238078159	2834	12825.2
0.01685408	0	0.8375596	1.485862532	-0.005495998	1.207931288	9.209900475	0.523047836	0.163719682	0.338923158	2621	9995.602
0.01685273	0	0.8736613	0.748230668	0.02387169	0.662342744	8.716699573	0.704619921	-0.020514733	0.355668414	2621	6104
0.01684977	0	0.5238777	0.985443038	0.035903084	1.133738572	8.646113971	0.741033755	0.071806167	0.361462729	2621	5688
0.01684782	0	0.8779215	1.346317284	0.139170173	1.246649945	8.478671674	0.823777113	0.109105877	0.425544709	2621	4811.055
0.02099953	0	0.1001528	2.855574394	0.271747805	1.053576694	4.216975089	0.034690688	1.851157223	0.35855399	3420	67.828
0.02101104	0	0.8971257	2.090631412	0.160949219	0.807906641	3.758592067	0.19930983	0.175826878	0.428721321	3420	42.888
0.02098539	0	0.307236	1.782939332	0.012421007	0.98589148	3.77727945	0.199144106	0.087927653	0.434263222	3420	43.697
0.02097633	0	0.35514	2.770582257	0.484029484	0.857096661	3.991148369	0.150618105	0.506865154	0.521813848	3420	54.117
0.02118761	0	0.4904406	2.928026362	0.447329377	1.090174297	3.876416553	0.07342853	1.275964392	0.411307538	3420	48.251
0.02122659	0	0.628081	1.800579429	0.221672662	1.464849114	3.396419318	0.226580032	0.177158273	0.521787186	3420	29.857
0.02124032	0	0.5247816	1.430189718	0.079885293	1.444717625	3.305090218	0.244835052	-0.307524239	0.502807236	3420	27.251
0.0212477	0	0.604553	0.864735604	0.184331116	1.101164521	3.363703177	0.209060078	-0.165705839	0.560942691	3420	28.896
0.0215932	0	0.3924873	2.717743595	0.135053111	1.557726263	2.915768729	0.208091859	0.555134042	0.164491145	3812	18.463
0.02158398	0	0.2761441	1.743935236	0.575757576	2.283428238	3.372523521	0.012246158	16.01515152	0.21967618	3812	29.152
0.02158136	0	0.9351844	0.74188129	0.285714286	1.619768166	3.19232649	0.044731978	1.443349754	0.037132882	3812	24.345
0.02160154	0	0.7112076	3.294572531	0.118427902	1.712942806	3.006276487	0.178953097	0.836803748	0.138234712	3812	20.212
0.02261094	0	0.7275075	-3.974975938	0.090909091	2.983442387	1.647696625	0.011357074	-25.95959596	0.14879692	2844	5.195
0.0226193	0	0.7281579	1.805363036	0.944773176	1.199156353	1.578566249	0.160478548	1.128205128	0	2844	4.848
0.02259961	0	0.2649762	-0.819866935	0.156673114	1.459128888	1.866093606	0.074887823	-1.680851064	0.89942751	2844	6.463
0.02259873	0	0.4194635	4.286760753	0.035860656	4.960853495	1.783727298	0.163642473	1.694672131	0.15843414	2844	5.952
0.01670222	0	0.9032785	1.658701307	0.141537751	1.592718206	10.38263673	0.14423732	0.525975525	0.158109866	3822	32294
0.01667351	0	0.4746731	1.907171034	0.1667001	1.457353012	10.47700625	0.139025078	0.741624875	0.235981967	3822	35490
0.0166619	0	0.7721308	1.732124208	0.117146332	1.571352983	10.49138532	0.134623931	0.630928253	0.21128208	3822	36004
0.01672117	0	0.0548887	1.90561391	0.138686131	1.84505291	10.33983744	0.155037006	0.616573637	0.163634013	3822	30941
0.02040292	0	0.6428672	-1.251882169	-1.965698578	0.875177334	4.761430068	0.044340664	-0.870323892	0.266112408	3672	116.913
0.0203851	0	0.7700593	0.012410213	0.084746951	1.18384996	4.589315157	0.141129975	1.044371232	0.12880612	3672	98.427
0.02040962	0	0.9354031	2.887809355	0.412065332	2.270777313	4.128826501	0.399613558	0.732191781	0.338008212	3672	62.105
0.02040979	0	0.9307164	5.002339575	0.806085487	4.687182413	4.802519919	0.153402235	1.681316912	0.0306197	3672	121.817
0.01878623	0	0.7839029	3.323410293	0.278035576	0.955743067	6.653250051	0.343995873	-0.084300077	0.203276151	2834	775.3
0.01878827	0	0.2231867	-0.606970703	0.576365663	4.125773933	7.209022899	0.019187301	-8.780835107	0.129037986	2834	1351.571
0.01878998	0	0.5222232	1.092161551	0.396421401	1.886738682	6.546565874	0.347229736	0.151338958	0.386384673	2834	696.847
0.01879271	0	0.1965138	1.585616149	0.111672184	1.410526828	6.657562935	0.300788158	0.59842191	0.25130771	2834	778.651
0.01877416	0	0.0247014	3.343310557	0.274131241	1.796960886	6.555648457	0.372200141	0.455485936	0	3714	703.205
0.01875773	0	0.8181149	-1.353377105	0.07873553	1.341964745	6.509767148	0.341725848	-0.339381684	0.595786621	3714	671.67
0.01875161	0	0.7130798	2.951202681	0.232558247	1.305909956	6.014636492	0.594444729	0.426005037	0.021063714	3714	409.377
0.0187905	0	0.2116845	1.181779614	0.093915606	0.830707003	6.109714141	0.528544457	0.062812639	0.441360698	3714	450.21
0.01925961	0	0.5881275	1.842288745	0.073468061	1.48518943	4.78212738	0.763987332	0.182023081	0.135985858	2670	119.358
0.01929301	0	0.8910214	2.148750692	0.198267849	1.058524589	5.70273526	0.401940698	0.195148547	0.333378937	2670	299.686
0.01925228	0	0.4334119	4.43128866	0.259564809	7.336303957	5.966828558	0.347652627	0.848995889	0.025415998	2670	390.266
